COUNTRY,CONTI-NENT,CODE,UNIVERSITY/ORGANIZATION,FORMER/ OTHER NAMES,ABBRE-VIATION,FACULTY/ DEPARTMENT,SIGNING,EXPIRY,"EXPIRY
CHECK",LEVEL OF COOPERATION,TYPE OF COOPERATION,NOTE,UPDATED
AUSTRALIA,Oceania,AU009-2014B001,La Trobe University,,,,15-Dec-2014,14-Dec-2019,1,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU010-2003A721,Macquarie University,,,Deparment of Linguistics and National Centre for English Language Teaching and Research,21-Jan-2003,auto renew,1,Chulalongkorn University Language Institute,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU010-1996A001,Macquarie University,,,,27-Mar-1996,26-Mar-2001,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU010-2003A001,Macquarie University,,,,31-Jan-2003,30-Jan-2008,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU010-2015A001,Macquarie University,,,,28-Sep-2015,27-Sep-2020,1,University,General Cooperation,,1-Oct-15
AUSTRALIA,Oceania,AU010-2017O001,Macquarie University,,,,14-Jun-2017,13-Jun-2022,1,University,Others: Jointly Supervised PhD Degree (Cotutelle),Only to express intentions of the Parties. MQ will reserve 1M AUD (5 Scholarships per year) to the program.,21-Jun-17
AUSTRALIA,Oceania,AU010-2018B001,Macquarie University,,,,20-Feb-2018,unlimited,,University,Student Exchange,,27-Apr-18
AUSTRALIA,Oceania,AU011-1988A001,"Melbourne, University of",,,,15-Jan-1988,2-Mar-2017,0,University,General Cooperation,Replaced by the new agreement signed on 3-Mar-2017,9-Sep-15
AUSTRALIA,Oceania,AU011-1989A001,"Melbourne, University of",,,,20-Jan-1989,2-Mar-2017,0,University,General Cooperation,Replaced by the new agreement signed on 3-Mar-2017,9-Sep-15
AUSTRALIA,Oceania,AU011-1999A001,"Melbourne, University of",,,,24-Nov-1999,23-Nov-2004,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU011-2001A271,"Melbourne, University of",,,,11-Apr-2001,10-Apr-2004,0,Faculty of Education,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU011-2006A001,"Melbourne, University of",,,,17-Jul-2006,16-Jul-2011,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU011-2006B001,"Melbourne, University of",,,,17-Jul-2006,16-Jul-2011,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU011-2011A001,"Melbourne, University of",,,,4-Jul-2011,3-Jul-2016,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU011-2011B001,"Melbourne, University of",,,,4-Jul-2011,3-Jul-2016,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU011-2017A001,"Melbourne, University of",,,,3-Mar-2017,2-Mar-2022,1,University,General Cooperation,,28-Apr-15
AUSTRALIA,Oceania,AU011-2017B001,"Melbourne, University of",,,,3-Mar-2017,2-Mar-2022,1,University,Student Exchange,,28-Apr-15
AUSTRALIA,Oceania,AU011-2017A27541,"Melbourne, University of",,,Faculty of Arts and Melbourne Graduate School of Education,16-Nov-2017,2-Mar-2022,1,Faculty of Education and CU Demonstration School,,Addendum to the 2017 MOU. The validity will be the same as the MOU.,25-Jan-19
AUSTRALIA,Oceania,AU012-1990A001,Monash University,,,,26-Jun-1990,26-Jun-1995,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU012-2000B261,Monash University,,,,28-Aug-2000,31-Dec-2005,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU012-2003A381,Monash University,,,Department of Psychology,5-Sep-2003,4-Sep-2005,0,Faculty of Psychology,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU012-2008B261,Monash University,,,Faculty of Business and Economics,16-Jan-2008,15-Jan-2013,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU012-2016B001,Monash University,,,,25-Apr-2016,24-Apr-2021,1,University,Student Exchange,,28-Apr-16
AUSTRALIA,Oceania,AU014-1991A001,"New South Wales, University of",,,,4-Oct-1991,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU014-2008A001,"New South Wales, University of",,,,15-May-2008,14-May-2011,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU014-2012B001,"New South Wales, University of",,,,19-Oct-2012,27-Sep-2017,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU014-2014A001,"New South Wales, University of",,,Canberra Campus,24-Sep-2014,auto renew,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU014-2017B001,"New South Wales, University of",,,,28-Sep-2017,27-Sep-2022,1,University,Student Exchange,,2-Oct-17
AUSTRALIA,Oceania,AU013-2008A261,"Newcastle, University of",,,Faculty of Business and Law,6-Jul-2008,unlimited,1,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU013-2015A361,"Newcastle, University of",,,,1-Jan-2015,31-Dec-2019,1,Faculty of Nursing,General Cooperation,,8-Sep-16
AUSTRALIA,Oceania,AU016-2003A001,"Queensland, University of",,,,3-Mar-2003,2-Mar-2008,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU016-2003O001,"Queensland, University of",,,,3-Mar-2003,2-Mar-2008,0,University,Others : Interfaculty Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU016-2003B001,"Queensland, University of",,,,3-Mar-2003,2-Mar-2008,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU016-2008B001,"Queensland, University of",,,,25-Jul-2008,24-Jul-2013,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU016-2008A001,"Queensland, University of",,,,29-Apr-2008,28-Apr-2013,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU016-2008G381,"Queensland, University of",,,Faculty of Social & Behavioural Sciences,29-Apr-2008,28-Apr-2013,0,Faculty of Psychology,Joint/Double Degree,,9-Sep-15
AUSTRALIA,Oceania,AU016-2013A001,"Queensland, University of",,,,26-Jul-2013,25-Jul-2018,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU016-2013B001,"Queensland, University of",,,,26-Jul-2013,25-Jul-2018,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU016-2017G381,"Queensland, University of",,,Faculty of Health & Behavioral Sciences,3-Mar-2017,25-Jul-2018,0,Faculty of Psychology,Joint/Double Degree,Valid as long as the General Agreement is valid,25-Apr-17
AUSTRALIA,Oceania,AU016-2018A001,"Queensland, University of",,,,27-Aug-2018,26-Aug-2023,1,University,General Cooperation,,17-Sep-18
AUSTRALIA,Oceania,AU015-1991B001,Queensland University of Technology,,,,24-Sep-1991,n/a,1,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU015-2008A211,Queensland University of Technology,,,,19-Nov-2008,18-Nov-2013,0,Faculty of Engineering,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU015-2009A261,Queensland University of Technology,,,,19-Mar-2009,18-Mar-2014,0,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU015-2009B261,Queensland University of Technology,,,,19-Mar-2009,18-Mar-2014,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU015-2014A001,Queensland University of Technology,,,,2-Apr-2014,29-Nov-2018,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU015-2014B001,Queensland University of Technology,,,,2-Apr-2014,29-Nov-2018,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU015-2018A001,Queensland University of Technology,,,,30-Nov-2018,31-Dec-2023,1,University,General Cooperation,,17-Dec-18
AUSTRALIA,Oceania,AU015-2018B001,Queensland University of Technology,,,,30-Nov-2018,31-Dec-2023,1,University,Student Exchange,,17-Dec-18
AUSTRALIA,Oceania,AU017-2008B281,RMIT University,,,School of Applied Communication,5-Mar-2008,4-Mar-2011,0,Faculty of Communication Arts,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU017-2011B001,RMIT University,,,,28-Dec-2011,27-Dec-2016,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU018-2000B261,"South Australia, University of",,,,1-Jan-2000,31-Dec-2005,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU019-2004B261,"Sunshine Coast, University of the",,,,13-Sep-2004,unlimited,1,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU020-1992A001,"Sydney, University of",,,,22-Jan-1992,21-Jan-1997,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU020-1995B001,"Sydney, University of",,,,4-Dec-1995,31-Dec-2000,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU020-2002B001,"Sydney, University of",,,,23-Aug-2002,31-Dec-2006,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU020-2011B001,"Sydney, University of",,,,20-Dec-2011,1-Dec-2016,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU020-2014A301,"Sydney, University of",,,,28-Dec-2014,unlimited,1,Faculty of Medicine,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU020-2017B001,"Sydney, University of",,,,18-Sep-2017,17-Sep-2022,,University,Student Exchange,,19-Sep-17
AUSTRALIA,Oceania,AU021-1994A001,"Technology Sydney, University of",,,,6-Oct-1994,5-Oct-1999,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU021-2011A281,"Technology Sydney, University of",,,,30-Jun-2011,29-Jun-2016,0,Faculty of Communication Arts,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU021-2012A001,"Technology Sydney, University of",,,,21-Jun-2012,16-Jan-2017,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU021-2012B001,"Technology Sydney, University of",,,,21-Jun-2012,16-Jan-2017,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU021-2017A001,"Technology Sydney, University of",,,,17-Jan-2017,16-Jan-2022,1,University,General Cooperation,,20-Jan-17
AUSTRALIA,Oceania,AU021-2017B001,"Technology Sydney, University of",,,,17-Jan-2017,16-Jan-2022,1,University,Student Exchange,,20-Jan-17
AUSTRALIA,Oceania,AU024-2015A001,"Western Australia, the University of",,,,16-Apr-2015,15-Apr-2020,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU024-2015B001,"Western Australia, the University of",,,,16-Apr-2015,15-Apr-2020,1,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU024-2015B261,"Western Australia, the University of",,,Business School,20-Apr-2015,15-Apr-2020,1,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU024-2015B291,"Western Australia, the University of",,,Business School,30-Sep-2015,15-Apr-2020,1,Faculty of Economics,Student Exchange,,15-Oct-15
AUSTRALIA,Oceania,AU023-1990A001,"Wollongong, University of ",,,,18-Jan-1990,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT001-2009A741,Graz University,,,,30-Apr-2009,30-Apr-2013,0,Environmental Research Institute,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT001-2011A231,Graz University,,,,29-Mar-2011,28-Mar-2014,0,Faculty of Science,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT002-1983F521,"Innsbruck, University of",,,,9-Aug-1983,unlimited,1,Graduate School,Research Collaboration / Joint Research,,9-Sep-15
AUSTRIA,Europe,AT002-1984A001,"Innsbruck, University of",,,,19-Jul-1984,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT002-2017O261,"Innsbruck, University of",,,School of Management,24-Feb-2017,23-Feb-2023,,Faculty of Commerce and Accountancy,Others: Acceptance of Degree Students,Extended automatically for further 3 years,25-Jan-19
AUSTRIA,Europe,AT003-2005F001,International Institute for Applied Systems Analysis,,IIASA,,25-Feb-2005,unlimited,1,University,Research Collaboration / Joint Research,,9-Sep-15
AUSTRIA,Europe,AT003-2009O001,International Institute for Applied Systems Analysis,,IIASA,,7-Apr-2009,28-Feb-2010,0,University,Others: Subcontract,,9-Sep-15
AUSTRIA,Europe,AT004-2002O001,Landesmusikdirektion,,,,27-Aug-2002,unlimited,1,University,Others: Letter of Intent,,9-Sep-15
AUSTRIA,Europe,AT006-1996A001,Vienna University of Economics and Business Administration,Wirtschaftsuniversität Wien,,,15-Jul-1996,14-Jul-2001,0,University,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT006-1997B291,Vienna University of Economics and Business Administration,Wirtschaftsuniversität Wien,,,7-Nov-1997,6-Nov-2002,0,Faculty of Economics,Student Exchange,,9-Sep-15
AUSTRIA,Europe,AT006-2003A001,Vienna University of Economics and Business Administration,Wirtschaftsuniversität Wien,,,14-Aug-2003,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT006-2003C291,Vienna University of Economics and Business Administration,Wirtschaftsuniversität Wien,,,18-Aug-2003,unlimited,1,Faculty of Economics,Faculty/Researchers Exchange,,9-Sep-15
AUSTRIA,Europe,AT006-2003B291,Vienna University of Economics and Business Administration,Wirtschaftsuniversität Wien,,,18-Aug-2003,unlimited,1,Faculty of Economics,Student Exchange,,9-Sep-15
AUSTRIA,Europe,AT005-2007A231,"Vienna, University of",,,"Faculty of Earth Sciences, Geography and Astronomy",16-Aug-2007,15-Aug-2012,0,Faculty of Science,General Cooperation,,9-Sep-15
AUSTRIA,Europe,AT005-2017B001,"Vienna, University of",,,,13-Feb-2017,31-Jul-2018,0,University,Student Exchange,Erasmus+,25-Apr-17
AUSTRIA,Europe,AT005-2017B002,"Vienna, University of",,,,27-Sep-2017,31-Jul-2019,1,University,Student Exchange,Erasmus+,3-Oct-17
AUSTRIA,Europe,AT005-2018A001,"Vienna, University of",,,,16-Jan-2018,15-Jan-2023,1,University,General Cooperation,,22-Jan-18
AUSTRIA,Europe,AT005-2018B001,"Vienna, University of",,,,16-Jan-2018,15-Jan-2023,1,University,Student Exchange,,22-Jan-18
AUSTRIA,Europe,AT005-2018B002,"Vienna, University of",,,,31-Aug-2018,31-Jul-2020,1,University,Student Exchange,Erasmus+,17-Sep-18
BANGLADESH,Asia,BD001-2013A211,Bangladesh University of Engineering and Technology,,,Bangladesh University of Engineering and Technology (Faculty of Mechanical Engineering),23-Dec-2013,22-Dec-2018,0,Faculty of Engineering,General Cooperation,,9-Sep-15
BANGLADESH,Asia,BD002-2012A211,"United College of Aviation, Science, and Management",,,"United College of Aviation, Science, and Management",18-Nov-2012,17-Nov-2017,0,Faculty of Engineering,General Cooperation,,9-Sep-15
BELGIUM,Europe,BE001-2017B261,"Antwerp, University of",,,Faculty of Applied Economic Sciences,19-Jan-2017,18-Jan-2022,1,Faculty of Commerce and Accountancy,Student Exchange,With details on faculty exchanges,25-Jan-19
BELGIUM,Europe,BE001-2018B291,"Antwerp, University of",,,Faculty of Business and Economics,6-Sep-2018,5-Sep-2023,1,Faculty of Economics,Student Exchange,,4-Oct-18
BELGIUM,Europe,BE002-1990A001,Ghent University,Ghent State University,,,27-Mar-1990,9-Mar-2018,0,University,General Cooperation,Superseded by the new Agreement signed on 9-Mar-2018,9-Sep-15
BELGIUM,Europe,BE002-2000A001,Ghent University,Ghent State University,,,21-Aug-2000,20-Aug-2005,0,University,General Cooperation,,9-Sep-15
BELGIUM,Europe,BE002-2018A001,Ghent University,Ghent State University,,,9-Mar-2018,8-Mar-2023,,University,General Cooperation," Limited to Faculty of Psychology and Educational Sciences & Faculty of Economics and Business Administration of UGent //Relevant Faculties at CU - Psychology, Education, Economics, Commerce and Accountancy //With details on student & staff exchange & research",27-Apr-18
BELGIUM,Europe,BE003-2011B261,Katholieke Universiteit Leuven,,KU Leuven,Faculty of Business and Economics,15-Aug-2011,14-Aug-2016,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
BELGIUM,Europe,BE003-2012B291,Katholieke Universiteit Leuven,,KU Leuven,Faculty of Business and Economics,23-Feb-2012,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
BELGIUM,Europe,BE003-2016O251,Katholieke Universiteit Leuven,,KU Leuven,Faculty of Architecture,19-May-2016,unlimited,1,Faculty of Architecture,Others: Letter of Intent,,8-Jun-16
BELGIUM,Europe,BE003-2018A001,Katholieke Universiteit Leuven,,KU Leuven,,10-Jan-2018,9-Jan-2023,,University,General Cooperation,,11-Jan-18
BELGIUM,Europe,BE003-2018B001,Katholieke Universiteit Leuven,,KU Leuven,,18-Sep-2018,31-Jul-2020,,University,Student Exchange,Erasmus+,22-Nov-18
BELGIUM,Europe,BE004-1996A371,"Libre de Bruxelles, Universite",,,Faculty of Medicine,6-Aug-1996,unlimited,1,Faculty of Allied Health Sciences,General Cooperation,,9-Sep-15
BELGIUM,Europe,BE004-2005A261,"Libre de Bruxelles, Universite",,,Solvay Business School,2-Jan-2005,unlimited,1,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
BELGIUM,Europe,BE004-2005A001,"Libre de Bruxelles, Universite",,,,14-Mar-2005,unlimited,1,University,General Cooperation,,9-Sep-15
BELGIUM,Europe,BE005-2013A251,LUCA School of Arts,,,,17-Jan-2013,16-Jan-2015,,Faculty of Architecture,General Cooperation,,6-Nov-17
BELGIUM,Europe,BE005-2013B251,LUCA School of Arts,,,,17-Jan-2013,16-Jan-2015,,Faculty of Architecture,Student Exchange,,6-Nov-17
BELGIUM,Europe,BE005-2013O251,LUCA School of Arts,,,,17-Jan-2013,16-Jan-2015,,Faculty of Architecture,Others: Credit Transfer,,6-Nov-17
BELGIUM,Europe,BE005-2018A251,LUCA School of Arts,,,Campus Sint-Lukas Brussel,5-Apr-2018,4-Apr-2020,,Faculty of Architecture,General Cooperation,,12-Dec-18
BELGIUM,Europe,BE005-2018B251,LUCA School of Arts,,,Campus Sint-Lukas Brussel,5-Apr-2018,4-Apr-2020,,Faculty of Architecture,Student Exchange,,12-Dec-18
BELGIUM,Europe,BE005-2018O251,LUCA School of Arts,,,Campus Sint-Lukas Brussel,5-Apr-2018,4-Apr-2020,,Faculty of Architecture,Others: Credit Transfer,,12-Dec-18
BELGIUM,Europe,BE005-2018A001,LUCA School of Arts,,,,31-Oct-2018,30-Oct-2021,,University,General Cooperation,,22-Nov-18
BHUTAN,Asia,BT001-2009E241,Centre for Bhutan Studies,,,,1-Jul-2009,30-Jun-2014,0,Faculty of Political Science,Collaboration on Program Development,Multilateral,9-Sep-15
BULGARIA,Europe,BG001-2015B001,"Chemical Technology and Metallurgy, University of",,,,5-Jan-2016,31-Dec-2020,1,University,Student Exchange,Erasmus+,25-Jan-16
CAMBODIA,Asia,KH001-2016A001,"Puthisastra, University of",,,,24-Feb-2016,23-Feb-2021,1,University,General Cooperation,,23-Mar-16
CAMBODIA,Asia,KH002-2001A251,Royal University of Fine Arts,,,Faculty of Archaeology,21-Mar-2001,20-Mar-2006,0,Faculty of Architecture,General Cooperation,,9-Sep-15
CANADA,America,CA001-1999A211,"Alberta, University of",,,,31-Mar-1999,30-Mar-2004,0,Faculty of Engineering,General Cooperation,,9-Sep-15
CANADA,America,CA001-2017A361,"Alberta, University of",,,Faculty of Nursing,18-Oct-2017,17-Oct-2022,1,Faculty of Nursing,General Cooperation,,27-Apr-18
CANADA,America,CA002-1999A001,Atomic Energy of Canada Limited,,AECL,,12-May-1999,unlimited,1,University,General Cooperation,,9-Sep-15
CANADA,America,CA003-1985A001,"British Columbia, the University of ",,,,22-Jan-1985,unlimited,1,University,General Cooperation,,9-Sep-15
CANADA,America,CA003-1990A001,"British Columbia, the University of ",,,,26-Nov-1990,unlimited,1,University,General Cooperation,,9-Sep-15
CANADA,America,CA003-1992D251,"British Columbia, the University of ",,,,12-Feb-1992,31-Mar-1997,0,Faculty of Architecture,Grant Contract/ Scholarship Program,,9-Sep-15
CANADA,America,CA003-2007B261,"British Columbia, the University of ",,,Sauder School of Business,24-Apr-2007,23-Apr-2012,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
CANADA,America,CA004-2001A001,"Calgary, the University of ",,,,29-Nov-2001,28-Nov-2006,0,University,General Cooperation,,9-Sep-15
CANADA,America,CA004-2001B001,"Calgary, the University of ",,,Haskayne School of Business,29-Nov-2001,28-Nov-2006,0,University,Student Exchange,For Faculty of Commerce and Accountancy,9-Sep-15
CANADA,America,CA004-2006B261,"Calgary, the University of ",,,Haskayne School of Business,21-Jul-2006,20-Jul-2011,0,Faculty of Commerce and Accountancy,Student Exchange,,5-Oct-16
CANADA,America,CA004-2011B261,"Calgary, the University of ",,,Haskayne School of Business,1-Aug-2011,30-Sep-2016,0,Faculty of Commerce and Accountancy,Student Exchange,,5-Oct-16
CANADA,America,CA004-2016B261,"Calgary, the University of ",,,Haskayne School of Business,1-Jul-2016,31-Aug-2021,,Faculty of Commerce and Accountancy,Student Exchange,,19-Sep-17
CANADA,America,CA005-1993A001,Carleton University,,,,6-Aug-1993,31-Aug-1998,0,University,General Cooperation,,9-Sep-15
CANADA,America,CA017-2010B261,HEC Montreal,,,,2-Nov-2010,auto renew,,Faculty of Commerce and Accountancy,Student Exchange,,21-Jun-17
CANADA,America,CA007-1992A001,McGill University,,,,11-Mar-1992,10-Mar-1997,0,University,General Cooperation,,9-Sep-15
CANADA,America,CA008-1998A211,McMaster University,,,,1-Dec-1998,30-Nov-2003,0,Faculty of Engineering,General Cooperation,,9-Sep-15
